"screenName","point","hashtag","BOTNOT"
"Carocappela",0.0708925733007609,"#Abortolegal2020","BOTNOT"
"Carojaime3",0.0562449121005188,"#AsambleaLegislativa2020","BOTNOT"
"CarolAbS",0.0379801364663761,"#TodosConAlberto","BOTNOT"
"CarolinaMoises",0.052029365506959,"#AperturadeSesiones","BOTNOT"
"Carolinalucres",0.052029365506959,"#TodosConAlberto","BOTNOT"
"Carolpg12",0.300816711527256,"#AsambleaLegislativa2020","BOTNOT"
"CaroolViviana",0.0765131067279284,"#AperturadeSesiones","BOTNOT"
"Carpintero20",0.0765131067279284,"#AperturadeSesiones","BOTNOT"
"CaseyJonesOK",0.454005729161407,"#AsambleaLegislativa2020","BOTNOT"
"CataStecco",0.0708925733007609,"#Abortolegal2020","BOTNOT"
"Cata_Beas",0.052029365506959,"#AsambleaLegislativa2020","BOTNOT"
"CatalinaAmari11",0.65455964610715,"#AperturadeSesiones","BOT"
"CatalinaAragon_",0.0825396626774012,"#AperturadeSesiones","BOTNOT"
"CatalinaaCh",0.0481136657077545,"#Abortolegal2020","BOTNOT"
"Cba24Ncomar",0.0708925733007609,"#AperturadeSesiones","BOTNOT"
"CeciSuarezRossi",0.0276140429422608,"#Abortolegal2020","BOTNOT"
"Cecilia___River",0.941619004986171,"#Abortolegal2020","BOT"
"CeleAvellaneda",0.0656555619800429,"#Abortolegal2020","BOTNOT"
"CeleShuvani",0.0959027621411744,"#Abortolegal2020","BOTNOT"
"CeledelBianco",0.0411067402195677,"#AsambleaLegislativa2020","BOTNOT"
"Celegutierrezf",0.0656555619800429,"#AperturadeSesiones","BOTNOT"
"CerisolaSofia",0.0607801135208407,"#Abortolegal2020","BOTNOT"
"CesarElizalde80",0.138026189602166,"#AperturadeSesiones","BOTNOT"
"Cesarmolinaush",0.336555195487199,"#AperturadeSesiones","BOTNOT"
"ChVR77",0.65455964610715,"#AperturadeSesiones","BOT"
"ChangoDeRadio",0.283782475135694,"#Abortolegal2020","BOTNOT"
"Charlitomdq",0.0959027621411744,"#TodosConAlberto","BOTNOT"
"CharlyLeonPaz2",0.0889951559667924,"#AperturadeSesiones","BOTNOT"
"Charrrly_",0.0350826433931558,"#Abortolegal2020","BOTNOT"
"Chatarro2",0.221795687690215,"#AsambleaLegislativa2020","BOTNOT"
"ChauOperetaK",0.194667737284505,"#AperturadeSesiones","BOTNOT"
"Chechu60542929",0.194667737284505,"#AperturadeSesiones","BOTNOT"
"CheloAyala",0.0889951559667924,"#AperturadeSesiones","BOTNOT"
"Chengoleh",0.158817464242006,"#TodosConAlberto","BOTNOT"
"Chester0223",0.635706839522915,"#AperturadeSesiones","BOT"
"ChicaFrutilla_",0.111167191085188,"#Abortolegal2020","BOTNOT"
